Model:20200619_04_40_unet_noAug_16_hidNumber of parameters:1869905
Epoch	lossTr	accVl	lossVl	accVl	time(s)
0001	 0.6422	 0.0000	 0.6278	 0.0000	 6.6807
0002	 0.3824	 0.0000	 0.3533	 0.0000	 6.6539
0003	 0.2087	 0.0000	 0.1953	 0.0000	 6.6644
0004	 0.1400	 0.0000	 0.1455	 0.0000	 6.6676
0005	 0.1190	 0.0000	 0.1349	 0.0000	 6.6595
0006	 0.1054	 0.0000	 0.1308	 0.0000	 6.6630
0007	 0.0978	 0.0000	 0.1333	 0.0000	 6.6174
0008	 0.0919	 0.0000	 0.1320	 0.0000	 6.6183
0009	 0.0869	 0.0000	 0.1350	 0.0000	 6.6195
0010	 0.0821	 0.0000	 0.1336	 0.0000	 6.6239
